meetpunt;datum;naam;waarde
KRW_DHS_02;2022-06-28;Arrenurus crassicaudatus;1
KRW_DHS_02;2022-06-28;Arrenurus latus;3
KRW_DHS_02;2022-06-28;Arrenurus sinuator;3
KRW_DHS_02;2022-06-28;Branchiura sowerbyi;1
KRW_DHS_02;2022-06-28;Cloeon dipterum;19
KRW_DHS_02;2022-06-28;Crangonyx pseudogracilis;15
KRW_DHS_02;2022-06-28;Endochironomus albipennis;2
KRW_DHS_02;2022-06-28;Endochironomus tendens;3
KRW_DHS_02;2022-06-28;Ferrissia californica;3
KRW_DHS_02;2022-06-28;Glyptotendipes barbipes;2
KRW_DHS_02;2022-06-28;Helobdella stagnalis;5
KRW_DHS_02;2022-06-28;Ilyocoris cimicoides;2
KRW_DHS_02;2022-06-28;Ilyodrilus templetoni;2
KRW_DHS_02;2022-06-28;Ischnura elegans;2
KRW_DHS_02;2022-06-28;Kiefferulus tendipediformis;3
KRW_DHS_02;2022-06-28;Limnesia undulata;11
KRW_DHS_02;2022-06-28;Limnodrilus claparedianus;1
KRW_DHS_02;2022-06-28;Limnodrilus hoffmeisteri;3
KRW_DHS_02;2022-06-28;Lumbriculus variegatus;11
KRW_DHS_02;2022-06-28;Musculium lacustre;1
KRW_DHS_02;2022-06-28;Physella acuta;73
KRW_DHS_02;2022-06-28;Piona imminuta;6
KRW_DHS_02;2022-06-28;Piona nodata;2
KRW_DHS_02;2022-06-28;Piona variabilis;2
KRW_DHS_02;2022-06-28;Pisidium nitidum;1
KRW_DHS_02;2022-06-28;Polypedilum nubeculosum;5
KRW_DHS_02;2022-06-28;Proasellus coxalis;19
KRW_DHS_02;2022-06-28;Psectrotanypus varius;17
KRW_DHS_02;2022-06-28;Rhynchelmis limosella;3
KRW_DHS_02;2022-06-28;Sialis lutaria;6
KRW_DHS_02;2022-06-28;Sigara striata;22
KRW_DHS_02;2022-06-28;Tanypus kraatzi;17
KRW_DHS_02;2022-06-28;Tanytarsus usmaensis;2
KRW_DHS_02;2022-06-28;Unionicola crassipes;49
KRW_DHS_04;2022-07-04;Ablabesmyia longistyla;4
KRW_DHS_04;2022-07-04;Acroloxus lacustris;27
KRW_DHS_04;2022-07-04;Argulus foliaceus;2
KRW_DHS_04;2022-07-04;Asellus aquaticus;4
KRW_DHS_04;2022-07-04;Clinotanypus nervosus;6
KRW_DHS_04;2022-07-04;Cloeon dipterum;2
KRW_DHS_04;2022-07-04;Crangonyx pseudogracilis;2
KRW_DHS_04;2022-07-04;Dicrotendipes notatus;4
KRW_DHS_04;2022-07-04;Endochironomus tendens;15
KRW_DHS_04;2022-07-04;Ferrissia californica;34
KRW_DHS_04;2022-07-04;Gammarus pulex;2
KRW_DHS_04;2022-07-04;Gammarus tigrinus;2
KRW_DHS_04;2022-07-04;Gerris lacustris;2
KRW_DHS_04;2022-07-04;Gerris odontogaster;1
KRW_DHS_04;2022-07-04;Glyptotendipes paripes;13
KRW_DHS_04;2022-07-04;Haemonais waldvogeli;1
KRW_DHS_04;2022-07-04;Helobdella stagnalis;3
KRW_DHS_04;2022-07-04;Hippeutis complanatus;2
KRW_DHS_04;2022-07-04;Ilyocoris cimicoides;1
KRW_DHS_04;2022-07-04;Ischnura elegans;9
KRW_DHS_04;2022-07-04;Kiefferulus tendipediformis;19
KRW_DHS_04;2022-07-04;Limnesia undulata;1
KRW_DHS_04;2022-07-04;Limnodrilus claparedianus;5
KRW_DHS_04;2022-07-04;Limnodrilus hoffmeisteri;1
KRW_DHS_04;2022-07-04;Limnomysis benedeni;7
KRW_DHS_04;2022-07-04;Lumbriculus variegatus;1
KRW_DHS_04;2022-07-04;Micronecta scholtzi;2
KRW_DHS_04;2022-07-04;Noterus clavicornis;4
KRW_DHS_04;2022-07-04;Noterus crassicornis;7
KRW_DHS_04;2022-07-04;Notonecta glauca;1
KRW_DHS_04;2022-07-04;Phaenopsectra flavipes;4
KRW_DHS_04;2022-07-04;Physella acuta;252
KRW_DHS_04;2022-07-04;Piona dispersa;1
KRW_DHS_04;2022-07-04;Piona nodata;8
KRW_DHS_04;2022-07-04;Piona pusilla;1
KRW_DHS_04;2022-07-04;Pisidium henslowanum;2
KRW_DHS_04;2022-07-04;Pisidium nitidum;4
KRW_DHS_04;2022-07-04;Pisidium subtruncatum;13
KRW_DHS_04;2022-07-04;Polypedilum nubeculosum;2
KRW_DHS_04;2022-07-04;Polypedilum sordens;2
KRW_DHS_04;2022-07-04;Proasellus coxalis;2
KRW_DHS_04;2022-07-04;Psectrotanypus varius;6
KRW_DHS_04;2022-07-04;Quistadrilus multisetosus;1
KRW_DHS_04;2022-07-04;Sigara falleni;10
KRW_DHS_04;2022-07-04;Sigara striata;19
KRW_DHS_04;2022-07-04;Tanypus kraatzi;6
KRW_DHS_04;2022-07-04;Unionicola crassipes;8
KRW_DHS_04;2022-07-04;Valvata cristata;5
KRW_KGZ_04;2022-06-21;Ablabesmyia longistyla;1
KRW_KGZ_04;2022-06-21;Anatopynia plumipes;2
KRW_KGZ_04;2022-06-21;Arrenurus latus;2
KRW_KGZ_04;2022-06-21;Arrenurus sinuator;1
KRW_KGZ_04;2022-06-21;Aulodrilus japonicus;1
KRW_KGZ_04;2022-06-21;Aulodrilus pigueti;1
KRW_KGZ_04;2022-06-21;Bithynia leachi;1
KRW_KGZ_04;2022-06-21;Caenis horaria;9
KRW_KGZ_04;2022-06-21;Cloeon dipterum;6
KRW_KGZ_04;2022-06-21;Crangonyx pseudogracilis;2
KRW_KGZ_04;2022-06-21;Dendrocoelum lacteum;1
KRW_KGZ_04;2022-06-21;Dero digitata;7
KRW_KGZ_04;2022-06-21;Dero dorsalis;3
KRW_KGZ_04;2022-06-21;Endochironomus tendens;2
KRW_KGZ_04;2022-06-21;Glyptotendipes paripes;2
KRW_KGZ_04;2022-06-21;Haemonais waldvogeli;4
KRW_KGZ_04;2022-06-21;Helobdella stagnalis;1
KRW_KGZ_04;2022-06-21;Hippeutis complanatus;7
KRW_KGZ_04;2022-06-21;Ischnura elegans;15
KRW_KGZ_04;2022-06-21;Musculium lacustre;2
KRW_KGZ_04;2022-06-21;Ophidonais serpentina;1
KRW_KGZ_04;2022-06-21;Physella acuta;32
KRW_KGZ_04;2022-06-21;Piona variabilis;1
KRW_KGZ_04;2022-06-21;Pisidium milium;1
KRW_KGZ_04;2022-06-21;Polypedilum nubeculosum;1
KRW_KGZ_04;2022-06-21;Polypedilum sordens;1
KRW_KGZ_04;2022-06-21;Proasellus coxalis;22
KRW_KGZ_04;2022-06-21;Psectrotanypus varius;2
KRW_KGZ_04;2022-06-21;Sialis lutaria;1
KRW_KGZ_04;2022-06-21;Sigara falleni;11
KRW_KGZ_04;2022-06-21;Sigara striata;37
KRW_KGZ_04;2022-06-21;Stylaria lacustris;1
KRW_KGZ_04;2022-06-21;Tanypus kraatzi;14
KRW_KGZ_04;2022-06-21;Tanytarsus usmaensis;1
KRW_KGZ_04;2022-06-21;Unionicola minor;2
KRW_KGZ_04;2022-06-21;Valvata cristata;4
KRW_KGZ_07;2022-06-21;Ablabesmyia longistyla;3
KRW_KGZ_07;2022-06-21;Acroloxus lacustris;1
KRW_KGZ_07;2022-06-21;Agraylea sexmaculata;1
KRW_KGZ_07;2022-06-21;Anacaena lutescens;1
KRW_KGZ_07;2022-06-21;Argyroneta aquatica;1
KRW_KGZ_07;2022-06-21;Arrenurus globator;1
KRW_KGZ_07;2022-06-21;Arrenurus sinuator;2
KRW_KGZ_07;2022-06-21;Asellus aquaticus;1
KRW_KGZ_07;2022-06-21;Caenis horaria;4
KRW_KGZ_07;2022-06-21;Cloeon dipterum;8
KRW_KGZ_07;2022-06-21;Crangonyx pseudogracilis;1
KRW_KGZ_07;2022-06-21;Endochironomus albipennis;5
KRW_KGZ_07;2022-06-21;Endochironomus tendens;3
KRW_KGZ_07;2022-06-21;Enochrus testaceus;1
KRW_KGZ_07;2022-06-21;Gerris lacustris;1
KRW_KGZ_07;2022-06-21;Graptodytes pictus;3
KRW_KGZ_07;2022-06-21;Haemonais waldvogeli;1
KRW_KGZ_07;2022-06-21;Helobdella stagnalis;1
KRW_KGZ_07;2022-06-21;Helophorus brevipalpis;6
KRW_KGZ_07;2022-06-21;Hippeutis complanatus;1
KRW_KGZ_07;2022-06-21;Holocentropus picicornis;1
KRW_KGZ_07;2022-06-21;Ilyocoris cimicoides;3
KRW_KGZ_07;2022-06-21;Ilyodrilus templetoni;1
KRW_KGZ_07;2022-06-21;Ischnura elegans;50
KRW_KGZ_07;2022-06-21;Kiefferulus tendipediformis;3
KRW_KGZ_07;2022-06-21;Limnodrilus hoffmeisteri;1
KRW_KGZ_07;2022-06-21;Limnomysis benedeni;3
KRW_KGZ_07;2022-06-21;Mesovelia furcata;1
KRW_KGZ_07;2022-06-21;Microvelia reticulata;4
KRW_KGZ_07;2022-06-21;Musculium lacustre;3
KRW_KGZ_07;2022-06-21;Mystacides longicornis;1
KRW_KGZ_07;2022-06-21;Nais barbata;2
KRW_KGZ_07;2022-06-21;Nais christinae;2
KRW_KGZ_07;2022-06-21;Noterus crassicornis;1
KRW_KGZ_07;2022-06-21;Notonecta glauca;1
KRW_KGZ_07;2022-06-21;Oecetis lacustris;3
KRW_KGZ_07;2022-06-21;Ophidonais serpentina;2
KRW_KGZ_07;2022-06-21;Paratanytarsus tenellulus;2
KRW_KGZ_07;2022-06-21;Phaenopsectra flavipes;1
KRW_KGZ_07;2022-06-21;Physella acuta;34
KRW_KGZ_07;2022-06-21;Piona variabilis;15
KRW_KGZ_07;2022-06-21;Pisidium nitidum;4
KRW_KGZ_07;2022-06-21;Polypedilum sordens;26
KRW_KGZ_07;2022-06-21;Proasellus coxalis;9
KRW_KGZ_07;2022-06-21;Sialis lutaria;5
KRW_KGZ_07;2022-06-21;Sigara falleni;6
KRW_KGZ_07;2022-06-21;Sigara striata;18
KRW_KGZ_07;2022-06-21;Stylaria lacustris;30
KRW_KGZ_07;2022-06-21;Tanypus kraatzi;1
KRW_KGZ_07;2022-06-21;Tanytarsus usmaensis;1
KRW_KGZ_07;2022-06-21;Triaenodes bicolor;1
KRW_KGZ_07;2022-06-21;Unionicola crassipes;1
KRW_KGZ_08;2022-06-21;Acroloxus lacustris;4
KRW_KGZ_08;2022-06-21;Arrenurus latus;2
KRW_KGZ_08;2022-06-21;Chalcolestes viridis;1
KRW_KGZ_08;2022-06-21;Cloeon dipterum;3
KRW_KGZ_08;2022-06-21;Crangonyx pseudogracilis;36
KRW_KGZ_08;2022-06-21;Cybister lateralimarginalis;1
KRW_KGZ_08;2022-06-21;Endochironomus tendens;1
KRW_KGZ_08;2022-06-21;Enochrus coarctatus;1
KRW_KGZ_08;2022-06-21;Ferrissia californica;2
KRW_KGZ_08;2022-06-21;Gammarus pulex;9
KRW_KGZ_08;2022-06-21;Gammarus tigrinus;2
KRW_KGZ_08;2022-06-21;Gerris odontogaster;1
KRW_KGZ_08;2022-06-21;Glyptotendipes paripes;1
KRW_KGZ_08;2022-06-21;Helophorus brevipalpis;1
KRW_KGZ_08;2022-06-21;Ilyocoris cimicoides;3
KRW_KGZ_08;2022-06-21;Ischnura elegans;1
KRW_KGZ_08;2022-06-21;Kiefferulus tendipediformis;1
KRW_KGZ_08;2022-06-21;Limnesia undulata;1
KRW_KGZ_08;2022-06-21;Microvelia reticulata;2
KRW_KGZ_08;2022-06-21;Noterus clavicornis;1
KRW_KGZ_08;2022-06-21;Notonecta glauca;1
KRW_KGZ_08;2022-06-21;Paratanytarsus tenellulus;2
KRW_KGZ_08;2022-06-21;Sialis lutaria;5
KRW_KGZ_08;2022-06-21;Sigara falleni;10
KRW_KGZ_08;2022-06-21;Sigara striata;7
KRW_KGZ_08;2022-06-21;Synendotendipes dispar;1
KRW_KGZ_08;2022-06-21;Tanypus kraatzi;20
KRW_KP_01;2022-05-18;Ablabesmyia longistyla;12
KRW_KP_01;2022-05-18;Agraylea sexmaculata;1
KRW_KP_01;2022-05-18;Alboglossiphonia heteroclita;1
KRW_KP_01;2022-05-18;Athripsodes aterrimus;1
KRW_KP_01;2022-05-18;Athripsodes cinereus;1
KRW_KP_01;2022-05-18;Bithynia tentaculata;16
KRW_KP_01;2022-05-18;Caenis robusta;3
KRW_KP_01;2022-05-18;Clinotanypus nervosus;12
KRW_KP_01;2022-05-18;Dero digitata;1
KRW_KP_01;2022-05-18;Dreissena bugensis;3
KRW_KP_01;2022-05-18;Dreissena polymorpha;8
KRW_KP_01;2022-05-18;Echinogammarus ischnus;1
KRW_KP_01;2022-05-18;Ferrissia californica;2
KRW_KP_01;2022-05-18;Gammarus pulex;2
KRW_KP_01;2022-05-18;Ischnura elegans;4
KRW_KP_01;2022-05-18;Limnodrilus hoffmeisteri;12
KRW_KP_01;2022-05-18;Musculium lacustre;1
KRW_KP_01;2022-05-18;Mystacides longicornis;2
KRW_KP_01;2022-05-18;Oecetis furva;1
KRW_KP_01;2022-05-18;Phaenopsectra flavipes;3
KRW_KP_01;2022-05-18;Physella acuta;5
KRW_KP_01;2022-05-18;Pisidium nitidum;2
KRW_KP_01;2022-05-18;Planorbarius corneus;2
KRW_KP_01;2022-05-18;Polypedilum nubeculosum;40
KRW_KP_01;2022-05-18;Potamopyrgus antipodarum;6
KRW_KP_01;2022-05-18;Potamothrix hammoniensis;2
KRW_KP_01;2022-05-18;Potamothrix heuscheri;2
KRW_KP_01;2022-05-18;Psectrocladius barbimanus;3
KRW_KP_01;2022-05-18;Radix auricularia;2
KRW_KP_01;2022-05-18;Sigara striata;4
KRW_KP_01;2022-05-18;Sphaerium ovale;5
KRW_KP_01;2022-05-18;Stylaria lacustris;3
KRW_KP_01;2022-05-18;Tanytarsus usmaensis;6
KRW_KP_01;2022-05-18;Unionicola crassipes;4
KRW_KP_01;2022-05-18;Valvata cristata;1
KRW_KP_01;2022-05-18;Valvata piscinalis;13
KRW_KP_02;2022-05-18;Ablabesmyia longistyla;5
KRW_KP_02;2022-05-18;Ablabesmyia monilis;3
KRW_KP_02;2022-05-18;Acentria ephemerella;4
KRW_KP_02;2022-05-18;Agraylea multipunctata;3
KRW_KP_02;2022-05-18;Alboglossiphonia heteroclita;1
KRW_KP_02;2022-05-18;Anisus vortex;8
KRW_KP_02;2022-05-18;Bathyomphalus contortus;5
KRW_KP_02;2022-05-18;Bithynia tentaculata;3
KRW_KP_02;2022-05-18;Caenis luctuosa;1
KRW_KP_02;2022-05-18;Caenis robusta;3
KRW_KP_02;2022-05-18;Cercyon bifenestratus;1
KRW_KP_02;2022-05-18;Chaetogaster diaphanus;1
KRW_KP_02;2022-05-18;Dikerogammarus villosus;4
KRW_KP_02;2022-05-18;Dixa nebulosa;1
KRW_KP_02;2022-05-18;Dreissena polymorpha;1
KRW_KP_02;2022-05-18;Erythromma najas;1
KRW_KP_02;2022-05-18;Gyraulus albus;2
KRW_KP_02;2022-05-18;Haliplus flavicollis;6
KRW_KP_02;2022-05-18;Hemiclepsis marginata;1
KRW_KP_02;2022-05-18;Hydrodroma pilosa;1
KRW_KP_02;2022-05-18;Hyphydrus ovatus;1
KRW_KP_02;2022-05-18;Ilyocoris cimicoides;1
KRW_KP_02;2022-05-18;Ischnura elegans;12
KRW_KP_02;2022-05-18;Limnephilus lunatus;1
KRW_KP_02;2022-05-18;Limnesia fulgida;2
KRW_KP_02;2022-05-18;Limnomysis benedeni;1
KRW_KP_02;2022-05-18;Lymnaea stagnalis;9
KRW_KP_02;2022-05-18;Menetus dilatatus;2
KRW_KP_02;2022-05-18;Mesovelia furcata;1
KRW_KP_02;2022-05-18;Nais christinae;17
KRW_KP_02;2022-05-18;Noterus clavicornis;2
KRW_KP_02;2022-05-18;Oecetis furva;1
KRW_KP_02;2022-05-18;Ophidonais serpentina;4
KRW_KP_02;2022-05-18;Peltodytes caesus;8
KRW_KP_02;2022-05-18;Physella acuta;30
KRW_KP_02;2022-05-18;Piona imminuta;1
KRW_KP_02;2022-05-18;Planorbis carinatus;1
KRW_KP_02;2022-05-18;Plea minutissima;8
KRW_KP_02;2022-05-18;Polypedilum nubeculosum;16
KRW_KP_02;2022-05-18;Potamopyrgus antipodarum;3
KRW_KP_02;2022-05-18;Radix auricularia;3
KRW_KP_02;2022-05-18;Sigara striata;17
KRW_KP_02;2022-05-18;Slavina appendiculata;4
KRW_KP_02;2022-05-18;Stylaria lacustris;28
KRW_KP_02;2022-05-18;Valvata piscinalis;8
KRW_KP_03;2022-05-18;Ablabesmyia longistyla;2
KRW_KP_03;2022-05-18;Acentria ephemerella;3
KRW_KP_03;2022-05-18;Acroloxus lacustris;4
KRW_KP_03;2022-05-18;Agraylea sexmaculata;3
KRW_KP_03;2022-05-18;Agrypnia pagetana;1
KRW_KP_03;2022-05-18;Alboglossiphonia hyalina;1
KRW_KP_03;2022-05-18;Anisus vortex;31
KRW_KP_03;2022-05-18;Asellus aquaticus;4
KRW_KP_03;2022-05-18;Bathyomphalus contortus;4
KRW_KP_03;2022-05-18;Bithynia leachi;17
KRW_KP_03;2022-05-18;Bithynia tentaculata;25
KRW_KP_03;2022-05-18;Caenis luctuosa;5
KRW_KP_03;2022-05-18;Caenis robusta;3
KRW_KP_03;2022-05-18;Dreissena polymorpha;1
KRW_KP_03;2022-05-18;Enochrus testaceus;1
KRW_KP_03;2022-05-18;Girardia tigrina;1
KRW_KP_03;2022-05-18;Gyraulus albus;4
KRW_KP_03;2022-05-18;Hemiclepsis marginata;4
KRW_KP_03;2022-05-18;Hippeutis complanatus;4
KRW_KP_03;2022-05-18;Hydroporus palustris;1
KRW_KP_03;2022-05-18;Hydrovatus cuspidatus;3
KRW_KP_03;2022-05-18;Ischnura elegans;4
KRW_KP_03;2022-05-18;Lumbriculus variegatus;1
KRW_KP_03;2022-05-18;Lymnaea stagnalis;6
KRW_KP_03;2022-05-18;Mystacides longicornis;15
KRW_KP_03;2022-05-18;Mystacides niger;1
KRW_KP_03;2022-05-18;Nais christinae;1
KRW_KP_03;2022-05-18;Nepa cinerea;1
KRW_KP_03;2022-05-18;Noterus clavicornis;11
KRW_KP_03;2022-05-18;Noterus crassicornis;8
KRW_KP_03;2022-05-18;Paramerina cingulata;2
KRW_KP_03;2022-05-18;Physella acuta;2
KRW_KP_03;2022-05-18;Piona neumani;1
KRW_KP_03;2022-05-18;Pisidium nitidum;4
KRW_KP_03;2022-05-18;Plea minutissima;2
KRW_KP_03;2022-05-18;Polycelis tenuis;7
